LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
New Delhi,2017,Maruti,Vitara Brezza LDI OPT,Manual,"46,480 km",Diesel,1st Owner,"₹6,25,000"
New Delhi,2019,Maruti,XL6 ZETA SHVS,,"12,610 km",Petrol,1st Owner,"₹9,50,000"
New Delhi,2017,Mahindra,Scorpio S4+Intelli Hybrid 2WD,,"30,790 km",Diesel,1st Owner,"₹10,03,000"
New Delhi,2019,Maruti,Ertiga VXI SMART HYBRID,Manual,"68,121 km",Petrol,1st Owner,"₹8,00,000"
New Delhi,2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"58,862 km",Diesel,1st Owner,"₹10,79,000"
New Delhi,2014,Mahindra,Quanto C2,Manual,"92,863 km",Diesel,1st Owner,"₹2,46,000"
New Delhi,2013,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,11,759 km",Diesel,2nd Owner,"₹5,45,000"
New Delhi,2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"74,691 km",Diesel,1st Owner,"₹8,21,000"
New Delhi,2016,Renault,Duster 85 PS RXE,Manual,"85,806 km",Diesel,1st Owner,"₹5,02,000"
New Delhi,2020,Maruti,Ertiga VXI CNG,Manual,"5,604 km",Petrol + CNG,1st Owner,"₹10,49,000"
New Delhi,2017,Maruti,Ertiga VDI SHVS,Manual,"49,237 km",Diesel,1st Owner,"₹6,57,000"
New Delhi,2010,Maruti,Eeco 5 STR WITH AC PLUSHTR,Manual,"70,033 km",Petrol + CNG,2nd Owner,"₹1,41,000"
New Delhi,2019,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"54,598 km",Diesel,1st Owner,"₹9,39,000"
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"52,393 km",Diesel,1st Owner,"₹8,60,000"
New Delhi,2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"58,620 km",Diesel,1st Owner,"₹7,29,000"
New Delhi,2015,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,17,450 km",Diesel,2nd Owner,"₹6,74,000"
New Delhi,2021,Hyundai,Creta SX PETROL MT,Manual,223 km,Petrol,1st Owner,"₹15,90,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"34,685 km",Diesel,1st Owner,"₹4,75,000"
New Delhi,2013,Renault,Duster RXE PETROL 104,Manual,"28,989 km",Petrol,1st Owner,"₹5,25,000"
New Delhi,2016,Maruti,Vitara Brezza ZDI,Manual,"31,383 km",Diesel,1st Owner,"₹7,65,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"56,858 km",Diesel,1st Owner,"₹5,13,000"
New Delhi,2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"31,547 km",Petrol,1st Owner,"₹7,90,000"
New Delhi,2014,Renault,Duster 110 PS RXZ DIESEL OPT,Manual,"75,434 km",Diesel,2nd Owner,"₹3,81,000"
New Delhi,2019,Maruti,Vitara Brezza ZDI AMT,Automatic,"32,134 km",Diesel,1st Owner,"₹9,14,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"78,423 km",Diesel,1st Owner,"₹4,50,000"
New Delhi,2018,Ford,Ecosport TITANIUM PLUS 1.5 TI VCT MT,Manual,"57,314 km",Petrol,1st Owner,"₹7,49,000"
New Delhi,2013,Maruti,Ertiga VDI ABS,Manual,"82,880 km",Diesel,1st Owner,"₹3,50,000"
New Delhi,2018,Maruti,Vitara Brezza VDI OPT,Manual,"70,302 km",Diesel,1st Owner,"₹7,50,000"
New Delhi,2018,Hyundai,Creta 1.6 SX AT PETROL,Manual,"30,390 km",Petrol + CNG,2nd Owner,"₹11,75,000"
New Delhi,2019,Maruti,Vitara Brezza VDI,Manual,"62,527 km",Diesel,1st Owner,"₹7,71,000"
New Delhi,2017,Hyundai,Creta 1.6 SX PLUS DIESEL,Automatic,"74,310 km",Diesel,1st Owner,"₹9,51,000"
New Delhi,2013,Mahindra,Quanto C2,Manual,"86,122 km",Diesel,1st Owner,"₹2,24,000"
New Delhi,2014,Honda,Mobilio 1.5 S I DTEC,Manual,"68,504 km",Diesel,2nd Owner,"₹2,81,000"
New Delhi,2014,Toyota,Innova 2.5 GX 7 STR BS IV,Manual,"1,69,038 km",Diesel,2nd Owner,"₹5,89,000"
New Delhi,2014,Toyota,Innova 2.5 G1 BS IV,Manual,"1,69,038 km",Diesel,2nd Owner,"₹6,75,000"
New Delhi,2019,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"54,598 km",Diesel,1st Owner,"₹9,39,000"
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"52,393 km",Diesel,1st Owner,"₹8,60,000"
New Delhi,2018,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"58,620 km",Diesel,1st Owner,"₹7,29,000"
